frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
138, 11, 140, 4600.000000, 4634.433333, 4673.666667, 34.433333, 73.666667
139, 11, 141, 4633.333333, 4667.766667, 4707.000000, 34.433333, 73.666667
140, 11, 142, 4666.666667, 4701.100000, 4740.333333, 34.433333, 73.666667
141, 10, 143, 4700.000000, 4734.333333, 4773.666667, 34.333333, 73.666667
142, 10, 144, 4733.333333, 4767.666667, 4807.000000, 34.333333, 73.666667
143, 9, 145, 4766.666667, 4800.900000, 4840.333333, 34.233333, 73.666667
144, 11, 146, 4800.000000, 4834.433333, 4873.666667, 34.433333, 73.666667
145, 8, 147, 4833.333333, 4867.466667, 4907.000000, 34.133333, 73.666667
146, 8, 148, 4866.666667, 4900.800000, 4940.333333, 34.133333, 73.666667
147, 10, 149, 4900.000000, 4934.333333, 4973.666667, 34.333333, 73.666667
148, 9, 150, 4933.333333, 4967.566667, 5007.000000, 34.233333, 73.666667
149, 8, 151, 4966.666667, 5000.800000, 5040.333333, 34.133333, 73.666667
150, 10, 152, 5000.000000, 5034.333333, 5073.666667, 34.333333, 73.666667
151, 11, 153, 5033.333333, 5067.766667, 5107.000000, 34.433333, 73.666667
152, 11, 154, 5066.666667, 5101.100000, 5140.333333, 34.433333, 73.666667
153, 8, 155, 5100.000000, 5134.133333, 5173.666667, 34.133333, 73.666667
154, 11, 156, 5133.333333, 5167.766667, 5207.000000, 34.433333, 73.666667
155, 11, 157, 5166.666667, 5201.100000, 5240.333333, 34.433333, 73.666667
156, 10, 158, 5200.000000, 5234.333333, 5273.666667, 34.333333, 73.666667
157, 8, 159, 5233.333333, 5267.466667, 5307.000000, 34.133333, 73.666667
158, 9, 160, 5266.666667, 5300.900000, 5340.333333, 34.233333, 73.666667
159, 10, 161, 5300.000000, 5334.333333, 5373.666667, 34.333333, 73.666667
160, 11, 162, 5333.333333, 5367.766667, 5407.000000, 34.433333, 73.666667
161, 8, 163, 5366.666667, 5400.800000, 5440.333333, 34.133333, 73.666667
162, 10, 164, 5400.000000, 5434.333333, 5473.666667, 34.333333, 73.666667
163, 10, 165, 5433.333333, 5467.666667, 5507.000000, 34.333333, 73.666667
164, 10, 166, 5466.666667, 5501.000000, 5540.333333, 34.333333, 73.666667
165, 7, 167, 5500.000000, 5534.033333, 5573.666667, 34.033333, 73.666667
166, 9, 168, 5533.333333, 5567.566667, 5607.000000, 34.233333, 73.666667
167, 10, 169, 5566.666667, 5601.000000, 5640.333333, 34.333333, 73.666667
168, 9, 170, 5600.000000, 5634.233333, 5673.666667, 34.233333, 73.666667
169, 7, 171, 5633.333333, 5667.366667, 5707.000000, 34.033333, 73.666667
170, 10, 172, 5666.666667, 5701.000000, 5740.333333, 34.333333, 73.666667
171, 11, 173, 5700.000000, 5734.433333, 5773.666667, 34.433333, 73.666667
172, 11, 174, 5733.333333, 5767.766667, 5807.000000, 34.433333, 73.666667
173, 9, 175, 5766.666667, 5800.900000, 5840.333333, 34.233333, 73.666667
174, 10, 176, 5800.000000, 5834.333333, 5873.666667, 34.333333, 73.666667
175, 12, 177, 5833.333333, 5867.866667, 5907.000000, 34.533333, 73.666667
176, 12, 178, 5866.666667, 5901.200000, 5940.333333, 34.533333, 73.666667
177, 13, 179, 5900.000000, 5934.633333, 5973.666667, 34.633333, 73.666667
178, 11, 180, 5933.333333, 5967.766667, 6007.000000, 34.433333, 73.666667
179, 13, 181, 5966.666667, 6001.300000, 6040.333333, 34.633333, 73.666667
180, 10, 182, 6000.000000, 6034.333333, 6073.666667, 34.333333, 73.666667
181, 11, 183, 6033.333333, 6067.766667, 6107.000000, 34.433333, 73.666667
182, 12, 184, 6066.666667, 6101.200000, 6140.333333, 34.533333, 73.666667
183, 12, 185, 6100.000000, 6134.533333, 6173.666667, 34.533333, 73.666667
184, 11, 186, 6133.333333, 6167.766667, 6207.000000, 34.433333, 73.666667
185, 14, 187, 6166.666667, 6201.400000, 6240.333333, 34.733333, 73.666667
186, 13, 188, 6200.000000, 6234.633333, 6273.666667, 34.633333, 73.666667
187, 14, 189, 6233.333333, 6268.066667, 6307.000000, 34.733333, 73.666667
188, 12, 190, 6266.666667, 6301.200000, 6340.333333, 34.533333, 73.666667
189, 12, 191, 6300.000000, 6334.533333, 6373.666667, 34.533333, 73.666667
190, 15, 192, 6333.333333, 6368.166667, 6407.000000, 34.833333, 73.666667
191, 12, 193, 6366.666667, 6401.200000, 6440.333333, 34.533333, 73.666667
192, 13, 194, 6400.000000, 6434.633333, 6473.666667, 34.633333, 73.666667
193, 15, 195, 6433.333333, 6468.166667, 6507.000000, 34.833333, 73.666667
194, 13, 196, 6466.666667, 6501.300000, 6540.333333, 34.633333, 73.666667
195, 13, 197, 6500.000000, 6534.633333, 6573.666667, 34.633333, 73.666667
196, 14, 198, 6533.333333, 6568.066667, 6607.000000, 34.733333, 73.666667
197, 14, 199, 6566.666667, 6601.400000, 6640.333333, 34.733333, 73.666667
198, 15, 200, 6600.000000, 6634.833333, 6673.666667, 34.833333, 73.666667
199, 15, 201, 6633.333333, 6668.166667, 6707.000000, 34.833333, 73.666667
200, 15, 202, 6666.666667, 6701.500000, 6740.333333, 34.833333, 73.666667
201, 14, 203, 6700.000000, 6734.733333, 6773.666667, 34.733333, 73.666667
202, 14, 204, 6733.333333, 6768.066667, 6807.000000, 34.733333, 73.666667
203, 14, 205, 6766.666667, 6801.400000, 6840.333333, 34.733333, 73.666667
204, 15, 206, 6800.000000, 6834.833333, 6873.666667, 34.833333, 73.666667
205, 14, 207, 6833.333333, 6868.066667, 6907.000000, 34.733333, 73.666667
206, 15, 208, 6866.666667, 6901.500000, 6940.333333, 34.833333, 73.666667
207, 16, 209, 6900.000000, 6934.933333, 6973.666667, 34.933333, 73.666667
208, 18, 210, 6933.333333, 6968.466667, 7007.000000, 35.133333, 73.666667
209, 14, 211, 6966.666667, 7001.400000, 7040.333333, 34.733333, 73.666667
210, 15, 212, 7000.000000, 7034.833333, 7073.666667, 34.833333, 73.666667
211, 15, 213, 7033.333333, 7068.166667, 7107.000000, 34.833333, 73.666667
212, 16, 214, 7066.666667, 7101.600000, 7140.333333, 34.933333, 73.666667
213, 13, 215, 7100.000000, 7134.633333, 7173.666667, 34.633333, 73.666667
214, 14, 216, 7133.333333, 7168.066667, 7207.000000, 34.733333, 73.666667
215, 13, 217, 7166.666667, 7201.300000, 7240.333333, 34.633333, 73.666667
216, 13, 218, 7200.000000, 7234.633333, 7273.666667, 34.633333, 73.666667
217, 13, 219, 7233.333333, 7267.966667, 7307.000000, 34.633333, 73.666667
218, 13, 220, 7266.666667, 7301.300000, 7340.333333, 34.633333, 73.666667
