{cfg.data},{cfg.bitrate},{strategy},{avg_delay},{tail_delay},{avg_vmaf},{avg_psnr}
ReadySteadyGo,10to1,0.3_drop_30,4.204030872483222,22.465613333333337,38.48548727684564,30.969383064834354
Lecture1080p,10to1,0.04,21.83368409703504,83.92547368421053,53.21100575202156,34.860157563101566
Lecture1080p,10to1,0.06,36.355338005390834,176.75879999999998,68.04783143665767,35.17490418402375
Lecture1080p,10to1,0.08,50.949110512129366,285.8296842105263,72.32593321832884,35.64968516205106
Lecture1080p,10to1,0.1,73.457897574124,418.5764210526317,74.2688818948787,35.88753058803237
Lecture1080p,10to1,0.2,77.1158425876011,398.0492631578948,75.43299314824799,35.91311335475496
Lecture1080p,10to1,0.3,86.70331859838272,436.0595789473683,77.26417283018867,36.1005382347018
Lecture1080p,10to1,0.3_drop_10,40.468263711911355,171.41785945945946,76.15695719407007,36.09905594021132
Lecture1080p,10to1,0.3_adaptive,46.05298975741239,233.1896631578947,74.4966807412399,35.822765495324305
Lecture1080p,10to1,0.3_adaptive_part,136.21757714285715,429.3222857142858,68.54629525714286,35.78987935908314
Lecture1080p,10to1,0.3_drop_10_part,101.67711999999997,428.49028571428573,73.04347174285714,36.22237275973137
Lecture1080p,10to1,0.3_drop_10_part,130.93068799999998,448.5936,71.65045058000001,36.5589469814034
Lecture1080p,10to1,0.3_adaptive_part,179.975808,445.07840000000004,67.99047206,36.461487114902056
Lecture1080p,10to1,0.3_adaptive_part,266.58080000000007,442.704,48.884339100000005,34.33798796861199
